,app_status,pass_course,pass_courseDegreeChoice,pass_campus,pass_campusFirstChoice,pass_pursue,pass_otherUniversity,waitlist_course,waitlist_campus,dpwas_campus,campus
0,No,,,,,,,,,,crc
1,No,,,,,,,,,,crc
2,No,,,,,,,,,,crc
3,No,,,,,,,,,,crc
4,No,,,,,,,,,,crc
5,No,,,,,,,,,,crc
6,No,,,,,,,,,,crc
7,No,,,,,,,,,,crc
8,No,,,,,,,,,,crc
9,No,,,,,,,,,,crc
10,Yes,BS ARCHITECTURE,1st Degree,UP MINDANAO,No,yes,,,,,crc
11,No,,,,,,,,,,crc
12,DPWAS,,,,,,,,,UP VISAYAS,crc
13,No,,,,,,,,,,crc
14,DPWAS,,,,,,,,,UP VISAYAS,crc
15,DPWAS,,,,,,,,,UP ILOILO,crc
16,No,,,,,,,,,,crc
17,No,,,,,,,,,,crc
18,Waitlisted,,,,,,,BS APPLIED MATHEMATICS,UP MINDANAO,UP MINDANAO,crc
19,No,,,,,,,,,,crc
20,No,,,,,,,,,,crc
21,Waitlisted,,,,,,,BS BIOLOGY,UP CEBU,,crc
22,No,,,,,,,,,,crc
23,No,,,,,,,,,,crc
24,No,,,,,,,,,,crc
25,No,,,,,,,,,,crc
26,No,,,,,,,,,,crc
27,Yes,BS AGRICULTURAL BIOTECHNOLOGY,4th Degree,UP LOS BANOS,No,no,DE LA SALLE UNIVERSITY,,,,crc
28,Yes,BS AGRICULTURAL BIOTECHNOLOGY,4th Degree,UP LOS BANOS,No,not sure,ATENEO DE MANILA UNIVERSITY,,,,crc
29,No,,,,,,,,,,crc
30,No,,,,,,,,,,crc
31,No,,,,,,,,,,crc
32,DPWAS,,,,,,,,,UP VISAYAS,crc
33,No,,,,,,,,,,crc
34,No,,,,,,,,,,crc
35,No,,,,,,,,,,crc
36,DPWAS,,,,,,,,,UP ILOILO,crc
37,No,,,,,,,,,,crc
38,No,,,,,,,,,,crc
39,No,,,,,,,,,,crc
40,No,,,,,,,,,,crc
41,Yes,BS STATISTICS,3rd Degree,UP VISAYAS,No,no,,,,,crc
42,No,,,,,,,,,,crc
43,DPWAS,,,,,,,,,UP ILOILO,crc
44,No,,,,,,,,,,crc
45,Yes,BS STATISTICS,5th Degree,UP VISAYAS,No,no,DE LA SALLE UNIVERSITY,,,,crc
46,DPWAS,,,,,,,,,UP VISAYAS,crc
47,No,,,,,,,,,,crc
48,Yes,BS ECONOMICS,1st Degree,UP VISAYAS,No,yes,,,,,crc
49,No,,,,,,,,,,crc
50,No,,,,,,,,,,crc
51,No,,,,,,,,,,crc
52,No,,,,,,,,,,crc
53,No,,,,,,,,,,crc
54,No,,,,,,,,,,crc
55,No,,,,,,,,,,crc
56,No,,,,,,,,,,crc
57,No,,,,,,,,,,crc
0,No,,,,,,,,,,cbzrc
1,No,,,,,,,,,,cbzrc
2,No,,,,,,,,,,cbzrc
3,No,,,,,,,,,,cbzrc
4,Yes,BS Biology,1st Degree,UP LOS BANOS,No,yes,,,,,cbzrc
5,Yes,BS AGRICULTURAL AND BIOSYSTEMS ENGINEERING,4th Degree,UP LOS BANOS,No,not sure,PHILIPPINE STATE COLLEGE OF AERONAUTICS,,,,cbzrc
6,No,,,,,,,,,,cbzrc
7,No,,,,,,,,,,cbzrc
8,No,,,,,,,,,,cbzrc
9,No,,,,,,,,,,cbzrc
10,Yes,BS AGRICULTURAL AND BIOSYSTEMS ENGINEERING,3rd Degree,UP LOS BANOS,Yes,yes,,,,,cbzrc
11,No,,,,,,,,,,cbzrc
12,No,,,,,,,,,,cbzrc
13,Yes,BS BIOLOGY,1st Degree,UP LOS BANOS,No,yes,,,,,cbzrc
14,Waitlisted,,,,,,,BS BIOCHEMISTRY,UP MANILA,,cbzrc
15,No,,,,,,,,,,cbzrc
16,Yes,BS APPLIED PHYSICS,1st Degree,UP DILIMAN,Yes,yes,,,,,cbzrc
17,Yes,BS CHEMICAL ENGINEERING ,1st Degree,UP DILIMAN,Yes,no,ATENEO DE MANILA UNIVERSITY,,,,cbzrc
18,No,,,,,,,,,,cbzrc
19,No,,,,,,,,,,cbzrc
20,No,,,,,,,,,,cbzrc
21,No,,,,,,,,,,cbzrc
22,Yes,BS NUTRITION,3rd Degree,UP LOS BANOS,No,yes,,,,,cbzrc
23,No,,,,,,,,,,cbzrc
24,No,,,,,,,,,,cbzrc
25,Yes,BS MATHEMATICS AND SCIENCE TEACHING,3rd Degree,UP LOS BANOS,No,yes,,,,,cbzrc
26,No,,,,,,,,,,cbzrc
27,No,,,,,,,,,,cbzrc
28,No,,,,,,,,,,cbzrc
29,No,,,,,,,,,,cbzrc
