pisay_campus,pisay_lat,pisay_long,up_campus,up_lat,up_long,distBetween,quartile
main,14.650882500000002,121.04036231740031,UP DILIMAN,14.65422435,121.0663606748634,2.8249038881493362,Q1
main,14.650882500000002,121.04036231740031,UP BAGUIO,16.405685300000002,120.59833260947963,199.8821970160073,Q1
main,14.650882500000002,121.04036231740031,UP CEBU,10.322567450000001,123.8988044071532,570.7629875633112,Q3
main,14.650882500000002,121.04036231740031,UP LOS BANOS,14.16052895,121.24256647998524,58.47238361391892,Q1
main,14.650882500000002,121.04036231740031,UP MANILA,14.57592705,120.98643716901391,10.126051225425913,Q1
main,14.650882500000002,121.04036231740031,UP MINDANAO,7.08510625,125.4857318696514,967.5924315785225,Q4
main,14.650882500000002,121.04036231740031,UP VISAYAS,10.6983127,122.55525493010288,467.19033962024895,Q3
carc,16.41643525,120.56224803998566,UP DILIMAN,14.65422435,121.0663606748634,202.35549693784867,Q1
carc,16.41643525,120.56224803998566,UP BAGUIO,16.405685300000002,120.59833260947963,4.03370607242679,Q1
carc,16.41643525,120.56224803998566,UP CEBU,10.322567450000001,123.8988044071532,764.8637830779883,Q4
carc,16.41643525,120.56224803998566,UP LOS BANOS,14.16052895,121.24256647998524,260.0929243467424,Q2
carc,16.41643525,120.56224803998566,UP MANILA,14.57592705,120.98643716901391,208.68243905469575,Q2
carc,16.41643525,120.56224803998566,UP MINDANAO,7.08510625,125.4857318696514,1163.1169318186264,Q4
carc,16.41643525,120.56224803998566,UP VISAYAS,10.6983127,122.55525493010288,668.364357952426,Q3
cbzrc,13.75940355,121.09163419672842,UP DILIMAN,14.65422435,121.0663606748634,99.04162856924387,Q1
cbzrc,13.75940355,121.09163419672842,UP BAGUIO,16.405685300000002,120.59833260947963,297.57327963791073,Q2
cbzrc,13.75940355,121.09163419672842,UP CEBU,10.322567450000001,123.8988044071532,487.7943857128808,Q3
cbzrc,13.75940355,121.09163419672842,UP LOS BANOS,14.16052895,121.24256647998524,47.2817334242713,Q1
cbzrc,13.75940355,121.09163419672842,UP MANILA,14.57592705,120.98643716901391,91.0518422556971,Q1
cbzrc,13.75940355,121.09163419672842,UP MINDANAO,7.08510625,125.4857318696514,881.0325884553889,Q4
cbzrc,13.75940355,121.09163419672842,UP VISAYAS,10.6983127,122.55525493010288,374.2015376417639,Q2
src,6.488495,124.81758222186428,UP DILIMAN,14.65422435,121.0663606748634,992.0033883092738,Q4
src,6.488495,124.81758222186428,UP BAGUIO,16.405685300000002,120.59833260947963,1189.4887356793033,Q4
src,6.488495,124.81758222186428,UP CEBU,10.322567450000001,123.8988044071532,435.94324469890125,Q2
src,6.488495,124.81758222186428,UP LOS BANOS,14.16052895,121.24256647998524,934.462653136594,Q4
src,6.488495,124.81758222186428,UP MANILA,14.57592705,120.98643716901391,987.8216633526384,Q4
src,6.488495,124.81758222186428,UP MINDANAO,7.08510625,125.4857318696514,99.03808565705077,Q1
src,6.488495,124.81758222186428,UP VISAYAS,10.6983127,122.55525493010288,527.9908774333726,Q3
evc,11.1804153,125.00382020246039,UP DILIMAN,14.65422435,121.0663606748634,574.6352815107516,Q3
evc,11.1804153,125.00382020246039,UP BAGUIO,16.405685300000002,120.59833260947963,748.9647974234697,Q4
evc,11.1804153,125.00382020246039,UP CEBU,10.322567450000001,123.8988044071532,153.66147621066997,Q1
evc,11.1804153,125.00382020246039,UP LOS BANOS,14.16052895,121.24256647998524,524.9524960142963,Q3
evc,11.1804153,125.00382020246039,UP MANILA,14.57592705,120.98643716901391,575.4725705054711,Q3
evc,11.1804153,125.00382020246039,UP MINDANAO,7.08510625,125.4857318696514,456.03765678399776,Q3
evc,11.1804153,125.00382020246039,UP VISAYAS,10.6983127,122.55525493010288,272.9115017167373,Q2
clc,15.19181375,120.53440968037214,UP DILIMAN,14.65422435,121.0663606748634,82.5452565102639,Q1
clc,15.19181375,120.53440968037214,UP BAGUIO,16.405685300000002,120.59833260947963,134.49745743320068,Q1
clc,15.19181375,120.53440968037214,UP CEBU,10.322567450000001,123.8988044071532,650.8096989512655,Q3
clc,15.19181375,120.53440968037214,UP LOS BANOS,14.16052895,121.24256647998524,137.2526019992042,Q1
clc,15.19181375,120.53440968037214,UP MANILA,14.57592705,120.98643716901391,83.72536084124168,Q1
clc,15.19181375,120.53440968037214,UP MINDANAO,7.08510625,125.4857318696514,1046.9636768673715,Q4
